WifiPickerActivity,levels,3,3,max,True,-2.3949396245,1.1571037503,,1.471347531,,1.471347531,call model,3,1.3801695908,1.4446105766,1.471347531,,call model,3,1.3502175602,1.3991302954,1.4090822628
WifiPickerActivity,levels,3,3,random,True,-2.3498149075,1.1353019567,,1.4090822628,1.4090822628,,,2,1.3801695908,1.4446105766,1.471347531,,,2,1.3675182533,1.3854038403,1.4029202412
WifiPickerActivity,levels,3,2,max,True,-2.3433616661,1.1535718906,,1.4446105766,,1.4446105766,,1,1.3794449235,1.4479395829,1.4694658828,,,1,1.3671579219,1.3908003662,1.4049350739
WifiPickerActivity,levels,3,2,random,True,-2.440701741,1.201489707,,1.3991302954,1.3991302954,,,MEMM,1.2973448348,1.3617000792,1.3816577024,,,MEMM,1.2811909286,1.3039491778,1.3234735757
WifiPickerActivity,levels,3,1,max,True,-3.2483828615,1.1726450775,,1.3801695908,,1.3801695908,"levels, max",,1,2,3,,"levels, random baseline",,1,2,3
WifiPickerActivity,levels,3,1,random,True,-3.1705269566,1.1445396024,,1.3502175602,1.3502175602,,,,var model,,,,,,var model,,
WifiPickerActivity,levels,2,3,max,True,-2.3949396245,1.1571037503,,1.471347531,,1.471347531,,,,,,,,,,,
WifiPickerActivity,levels,2,3,random,True,-2.3382788495,1.1297283649,,1.4029202412,1.4029202412,,call model,3,1.2526546072,1.2952245955,1.310383277,,call model,3,1.2376532236,1.2616989967,1.2590966415
WifiPickerActivity,levels,2,2,max,True,-2.3433616661,1.1535718906,,1.4446105766,,1.4446105766,,2,1.2526546072,1.2930782423,1.3067884675,,,2,1.2263363548,1.2873724219,1.2797650841
WifiPickerActivity,levels,2,2,random,True,-2.440701741,1.201489707,,1.3854038403,1.3854038403,,,1,1.252504953,1.2877275064,1.2984496871,,,1,1.2234551087,1.2464570138,1.2671625827
WifiPickerActivity,levels,2,1,max,True,-3.2483828615,1.1726450775,,1.3801695908,,1.3801695908,,MEMM,N/A,N/A,N/A,,,MEMM,N/A,N/A,N/A
WifiPickerActivity,levels,2,1,random,True,-3.1986191823,1.1546807131,,1.3675182533,1.3675182533,,"CFS, max",,1,2,2,,"CFS, random baseline",,1,2,2
WifiPickerActivity,levels,1,3,max,True,-2.4074804391,1.1631627855,,1.4694658828,,1.4694658828,,,var model,,,,,,var model,,
WifiPickerActivity,levels,1,3,random,True,-2.3488177967,1.1348202073,,1.4049350739,1.4049350739,,Average Per-event LL of Completed Code / Average Per-event LL of Actual Code,,,,,,,,,,
WifiPickerActivity,levels,1,2,max,True,-2.3548509924,1.1592277669,,1.4479395829,,1.4479395829,,,,,,,,,,,
WifiPickerActivity,levels,1,2,random,True,-2.2894665609,1.1270408265,,1.3908003662,1.3908003662,,,3,-4.1088058575,-3.1238744217,-3.2095664788,,,3,,,
WifiPickerActivity,levels,1,1,max,True,-3.2235310284,1.1636737275,,1.3794449235,,1.3794449235,,2,-4.1088058575,-3.1238744217,-3.2095664788,,,2,,,
WifiPickerActivity,levels,1,1,random,True,-3.3311733399,1.2025319015,,1.3671579219,1.3671579219,,,1,-4.1088058575,-3.1238744217,-3.2095664788,,,1,,,
WifiPickerActivity,levels,MEMM,3,max,True,-2.3949396245,1.0857754369,,1.3816577024,,1.3816577024,,MEMM,-4.3464919439,-3.3006426757,-4.3464919439,,,MEMM,,,
WifiPickerActivity,levels,MEMM,3,random,True,-2.3488177967,1.064865537,,1.3234735757,1.3234735757,,,,1,2,3,,,,1,2,3
WifiPickerActivity,levels,MEMM,2,max,True,-2.3433616661,1.0824612946,,1.3617000792,,1.3617000792,,,,,,,,,,,
WifiPickerActivity,levels,MEMM,2,random,True,-2.2871200141,1.0564817745,,1.3039491778,1.3039491778,,,,,,,,,,,,
WifiPickerActivity,levels,MEMM,1,max,True,-3.2483828615,1.1003587371,,1.2973448348,,1.2973448348,,,,,,,,,,,
WifiPickerActivity,levels,MEMM,1,random,True,-3.1795190406,1.0770317741,,1.2811909286,1.2811909286,,,,,,,,,,,,
WifiPickerActivity,cfs,3,3,max,True,-5.8564957647,1.4402068417,,1.310383277,,1.310383277,,,,,,,,,,,
WifiPickerActivity,cfs,3,3,random,True,-5.3861122082,1.3245319324,,1.2590966415,1.2590966415,,,,,,,,,,,,
WifiPickerActivity,cfs,3,2,max,True,-4.7767356591,1.3960508653,,1.2952245955,,1.2952245955,,,,,,,,,,,
WifiPickerActivity,cfs,3,2,random,True,-4.4883571786,1.3117692438,,1.2616989967,1.2616989967,,,,,,,,,,,,
WifiPickerActivity,cfs,3,1,max,True,-5.6255235631,1.3184386778,,1.2526546072,,1.2526546072,,,,,,,,,,,
WifiPickerActivity,cfs,3,1,random,True,-5.6143420589,1.3158180991,,1.2376532236,1.2376532236,,,,,,,,,,,,
WifiPickerActivity,cfs,2,3,max,True,-5.7980236451,1.4258276036,,1.3067884675,,1.3067884675,,,,,,,,,,,
WifiPickerActivity,cfs,2,3,random,True,-5.4832569257,1.3484213865,,1.2797650841,1.2797650841,,,,,,,,,,,,
WifiPickerActivity,cfs,2,2,max,True,-4.7473597613,1.3874654525,,1.2930782423,,1.2930782423,,,,,,,,,,,
WifiPickerActivity,cfs,2,2,random,True,-4.8292020815,1.411384725,,1.2873724219,1.2873724219,,,,,,,,,,,,
WifiPickerActivity,cfs,2,1,max,True,-5.6255235631,1.3184386778,,1.2526546072,,1.2526546072,,,,,,,,,,,
WifiPickerActivity,cfs,2,1,random,True,-5.48147915,1.28467938,,1.2263363548,1.2263363548,,,,,,,,,,,,
